lat,lon,neighborhood,rooms,bedrooms,bathrooms,surface_covered,ars_price,ars_m2
-34.588742700000005,-58.408612,Recoleta,3,2,1,87,20800000,239080
-34.5958966673,-58.3947501169,Recoleta,5,4,3,271,58500000,215867
-34.59326553,-58.38612747,Recoleta,3,2,2,100,27300000,273000
-34.555477,-58.484611,Saavedra,2,1,1,37,6500000,175675
-34.61330032,-58.39162064,Balvanera,3,2,2,70,8450000,120714
-34.6249799,-58.4517827,Caballito,1,0,1,25,4550000,182000
-34.6194495,-58.4521172,Caballito,3,2,1,50,8450000,169000
-34.607577299999996,-58.441213399999995,Caballito,2,1,1,43,7605000,176860
-34.6166216,-58.44653470000001,Caballito,3,2,2,99,19175000,193686
-34.62522507,-58.45017624,Caballito,3,2,2,81,14300000,176543
-34.6143682,-58.448416200000004,Caballito,3,2,1,50,8905000,178100
-34.5834184,-58.4461304,Chacarita,1,0,1,35,8450000,241428
-34.64733505,-58.4923172,Mataderos,3,2,1,44,5785000,131477
-34.6209506,-58.3788368,San Telmo,1,0,1,35,7800000,222857
-34.624632299999995,-58.376939899999996,San Telmo,1,0,1,38,5525000,145394
-34.629155,-58.505350199999995,Versalles,1,0,1,38,5200000,136842
-34.629155,-58.505350199999995,Versalles,2,1,1,55,7150000,130000
-34.6420374,-58.5021801,Villa Luro,3,2,2,200,7020000,35100
-34.6396284,-58.4974226,Villa Luro,1,0,1,36,5655000,157083
-34.6429369,-58.4936596,Villa Luro,1,0,2,36,5980000,166111
-34.5973304,-58.421612100000004,Barrio Norte,1,0,1,29,7800000,268965
-34.5973304,-58.421612100000004,Barrio Norte,1,0,1,29,8450000,291379
-34.5973304,-58.421612100000004,Barrio Norte,1,0,1,35,11050000,315714
-34.5810295,-58.4327598,Villa Crespo,1,0,1,40,7678125,191953
-34.597787200000006,-58.43050160000001,Villa Crespo,2,1,1,43,9717500,225988
-34.59867,-58.45145,Villa Crespo,1,0,1,18,3900000,216666
-34.590319,-58.515643000000004,Villa Devoto,5,4,3,112,14625000,130580
-34.6254075,-58.392985100000004,Constitución,1,0,1,30,4875000,162500
-34.5791527,-58.481747999999996,Villa Urquiza,4,3,1,73,12805000,175410
-34.57747269,-58.49163437,Villa Urquiza,1,0,2,52,10075000,193750
-34.5752179,-58.4839384,Villa Urquiza,1,0,1,36,8320000,231111
-34.629155,-58.505350199999995,Velez Sarsfield,1,0,1,38,5200000,136842
-34.629155,-58.505350199999995,Velez Sarsfield,2,1,1,55,7150000,130000
-34.61236191,-58.49189377,Villa del Parque,2,1,2,110,19175000,174318
-34.612623,-58.436553700000005,Parque Centenario,1,0,1,32,6370000,199062
-34.6053838,-58.43065229999999,Parque Centenario,1,0,1,35,5525000,157857
-34.6462644,-58.520005700000006,Liniers,1,0,1,30,5720000,190666
-34.6052532825,-58.422527714,Almagro,2,1,1,46,5700000,123913
-34.6052532825,-58.422527714,Almagro,2,1,1,46,5785000,125760
-34.6052532825,-58.422527714,Almagro,2,1,1,46,5985000,130108
-34.6052532825,-58.422527714,Almagro,2,1,1,33,3938000,119333
-34.6052532825,-58.422527714,Almagro,2,1,1,46,5900000,128260
-34.609056200000005,-58.42132170000001,Almagro,2,1,1,51,6567000,128764
-34.6052532825,-58.422527714,Almagro,2,1,1,43,5665000,131744
